Ruta;ShaderAnterior;Albedo;Normal;Emission;Advertencias
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon01_a04.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon01_a05.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon01_a06.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon01_a07.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon01_a08.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon01_a09.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon01_a10.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon01_a11.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon01_a12.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon02_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon02_a02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon03_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon03_a02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon03_a03.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon03_a04.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon03_a05.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Barrel01_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Barrel01_a02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Barrel02_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Barrel02_a02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Barrel02_a03.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Barrel03_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Barrel03_a02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Barrel03_a03.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Barrel03_a04.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Barrel03_a05.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Barrel03_a06.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Barrel03_a07.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Barrel04_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Barrel04_a02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Base01_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Beam01_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed01_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed01_a02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed01_a03.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed01_a04.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed01_a05.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed02_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed02_a02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed02_a03.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed02_a04.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed02_a05.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed03_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed03_a02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed03_a03.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed03_a04.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed03_a05.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed04_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed04_a02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed04_a03.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed04_a04.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed04_a05.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed05_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed05_a02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed05_a03.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed05_a04.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Bed05_a05.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Board01_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Board01_a02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Board01_a03.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Board01_a04.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Board02_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Board02_a02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Board02_a03.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Board02_a04.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Board03_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
